id,title,description,risk
cognito_user_pool_blocks_potential_malicious_sign_in_attempts,Ensure that your Amazon Cognito user pool blocks potential malicious sign-in attempts,"Amazon Cognito provides adaptive authentication, which helps protect your applications from malicious actors and compromised credentials by evaluating the risk associated with each user login and providing the appropriate level of security to mitigate that risk. Adaptive authentication is a feature of advanced security that you can enable for your user pool. When adaptive authentication is enabled, Amazon Cognito evaluates the risk associated with each user login and provides the appropriate level of security to mitigate that risk. You can configure adaptive authentication to block sign-in attempts that are likely to be malicious.","If adaptive authentication with automatic risk response as block sign-in is not enabled, your user pool may not be able to block sign-in attempts that are likely to be malicious."
cognito_user_pool_client_prevent_user_existence_errors,Amazon Cognito User Pool should prevent user existence errors,"Amazon Cognito User Pool should be configured to prevent user existence errors. This setting prevents user existence errors by requiring the user to enter a username and password to sign in. If the user does not exist, the user will receive an error message.",Revealing user existence errors can be a security risk as it can allow an attacker to determine if a user exists in the system. This can be used to perform user enumeration attacks.
cognito_user_pool_client_token_revocation_enabled,Ensure that token revocation is enabled for Amazon Cognito User Pools,"Token revocation is a security feature that allows you to revoke tokens and end sessions for users. When you enable token revocation, Amazon Cognito automatically revokes tokens for users who sign out or are deleted. This helps protect your users' data and prevent unauthorized access to your resources.","If token revocation is not enabled, users' tokens will not be revoked when they sign out or are deleted. This can lead to unauthorized access to your resources."
cognito_user_pool_deletion_protection_enabled,Ensure cognito user pools deletion protection enabled to prevent accidental deletion,"Deletion protection is a feature that allows you to lock a user pool to prevent it from being deleted. When deletion protection is enabled, you cannot delete the user pool. By default, deletion protection is disabled","If deletion protection is not enabled, the user pool can be deleted by any user with the necessary permissions. This can lead to loss of data and service disruption"
cognito_user_pool_mfa_enabled,Ensure Multi-Factor Authentication (MFA) is enabled for Amazon Cognito User Pools,Checks whether Multi-Factor Authentication (MFA) is enabled for Amazon Cognito User Pools.,"If MFA is not enabled, unauthorized users could gain access to the user pool and potentially compromise the security of the application."
cognito_user_pool_password_policy_lowercase,Ensure Cognito User Pool has password policy to require at least one lowercase letter,User pool password policy should require at least one lowercase letter.,"If the password policy does not require at least one lowercase letter, it may be easier for an attacker to crack the password."
cognito_user_pool_password_policy_minimum_length_14,Ensure that the password policy for your user pools require a minimum length of 14 or greater,User pools allow you to configure a password policy for your user pool to specify complexity requirements for user passwords. The password policy for your user pools should require a minimum length of 14 or greater.,"If the password policy for your user pools does not require a minimum length of 14 or greater, it may be easier for attackers to guess or brute force user passwords."
cognito_user_pool_password_policy_number,Ensure that the password policy for your user pool requires a number,Checks whether the password policy for your user pool requires a number.,"If the password policy for your user pool does not require a number, the user pool is less secure and more vulnerable to attacks."
cognito_user_pool_password_policy_symbol,Ensure that the password policy for your Amazon Cognito user pool requires at least one symbol.,Check whether the password policy for your Amazon Cognito user pool requires at least one symbol.,"If the password policy for your Amazon Cognito user pool does not require at least one symbol, it can be easier for attackers to crack passwords."
cognito_user_pool_password_policy_uppercase,Ensure that the password policy for your user pool requires at least one uppercase letter,"User pools allow you to configure a password policy for your user pool to specify requirements for user passwords. You can require that passwords have a minimum length, contain at least one uppercase letter, and contain at least one number. You can also require that passwords have at least one special character. You can also set the password policy to require that passwords be case-sensitive.","If the password policy for your user pool does not require at least one uppercase letter, it may be easier for an attacker to guess or crack user passwords."
cognito_user_pool_self_registration_disabled,Ensure self registration is disabled for Amazon Cognito User Pools,"Checks whether self registration is disabled for the Amazon Cognito User Pool. Self registration allows users to sign up for an account in the user pool. If self registration is enabled, users can sign up for an account in the user pool without any intervention from the administrator. This can lead to unauthorized access to the application.","If self registration is enabled, users can sign up for an account in the user pool without any intervention from the administrator. This can lead to unauthorized access to the application."
cognito_user_pool_temporary_password_expiration,Ensure that the user pool has a temporary password expiration period of 7 days or less,"Temporary passwords are set by the administrator and are used to allow users to sign in and change their password. Temporary passwords are valid for a limited period of time, after which they expire. Temporary passwords are used when an administrator creates a new user account or resets a user password. The temporary password expiration period is the length of time that the temporary password is valid. The default value is 7 days. You can set the expiration period to a value between 0 and 365 days.","If the temporary password expiration period is too long, it increases the risk of unauthorized access to the user account. If the temporary password expiration period is too short, it increases the risk of users being unable to sign in and change their password."
cognito_user_pool_waf_acl_attached,Ensure that Amazon Cognito User Pool is associated with a WAF Web ACL,"Web ACLs are used to control access to your content. You can use a Web ACL to control who can access your content. You can also use a Web ACL to block requests based on IP address, HTTP headers, HTTP body, URI, or URI query string parameters. You can associate a Web ACL with a Cognito User Pool to control access to your content.","If a Web ACL is not associated with a Cognito User Pool, then the content is not protected by the Web ACL. This could lead to unauthorized access to your content."
config_recorder_all_regions_enabled,Ensure AWS Config is enabled in all regions.,Ensure AWS Config is enabled in all regions.,"The AWS configuration item history captured by AWS Config enables security analysis, resource change tracking and compliance auditing."
config_recorder_using_aws_service_role,Ensure Config Recorder is using service-linked AWS Config role,"AWS Config uses an IAM role to access other AWS services. This role should be AWSServiceRoleForConfig, not a custom role. Using AWSServiceRoleForConfig ensures that the Config recorder has the necessary permissions to record configuration changes and that the role is managed by AWS, reducing the risk of misconfiguration.","If the Config recorder is not using AWSServiceRoleForConfig, it may not have the necessary permissions to record configuration changes, which could lead in not following the principle of least privilege, which could lead to misconfiguration and potential security vulnerabilities."
controllermanager_bind_address,Ensure that the --bind-address argument is set to 127.0.0.1,This check verifies that the Kubernetes Controller Manager is bound to the loopback address (127.0.0.1) to minimize the cluster's attack surface. Binding to the loopback address ensures that the Controller Manager API service is not exposed to unauthorized network access.,Binding the Controller Manager to a non-loopback address exposes sensitive health and metrics information without authentication or encryption.
controllermanager_disable_profiling,Ensure that the --profiling argument is set to false,"This check ensures that profiling is disabled in the Kubernetes Controller Manager, reducing the potential attack surface.","Enabling profiling can expose detailed system and program information, which could be exploited if accessed by unauthorized users."
controllermanager_garbage_collection,Ensure that the --terminated-pod-gc-threshold argument is set as appropriate,"Activate garbage collector on pod termination, as appropriate. Garbage collection is crucial for maintaining resource availability and performance. The default threshold for garbage collection is 12,500 terminated pods, which may be too high for some systems. Adjusting this threshold based on system resources and performance tests is recommended.","A high threshold for garbage collection can lead to degraded performance and resource exhaustion. In extreme cases, it might cause system crashes or prolonged unavailability."
controllermanager_root_ca_file_set,Ensure that the --root-ca-file argument is set as appropriate,"This check verifies that the Kubernetes Controller Manager is configured with the --root-ca-file argument set to a certificate bundle file, allowing pods to verify the API server's serving certificate.",Not setting the root CA file can expose pods to man-in-the-middle attacks due to unverified TLS connections to the API server.
controllermanager_rotate_kubelet_server_cert,Ensure that the RotateKubeletServerCertificate argument is set to true,"This check ensures that the Kubernetes Controller Manager is configured with the RotateKubeletServerCertificate argument set to true, enabling automated rotation of kubelet server certificates.",Not enabling kubelet server certificate rotation could lead to downtime due to expired certificates.
controllermanager_service_account_credentials,Ensure that the --use-service-account-credentials argument is set to true,"This check verifies that the Kubernetes Controller Manager is configured to use individual service account credentials for each controller, enhancing the security and role separation within the Kubernetes system.",Not using individual service account credentials can lead to overly broad permissions and potential security risks.
controllermanager_service_account_private_key_file,Ensure that the --service-account-private-key-file argument is set as appropriate,This check ensures that the Kubernetes Controller Manager is configured with the --service-account-private-key-file argument set to the private key file for service accounts.,Not setting a private key file for service accounts can hinder the ability to securely rotate service account tokens.
core_minimize_admission_hostport_containers,Minimize the admission of containers which use HostPorts,This check ensures that Kubernetes clusters are configured to minimize the admission of containers that require the use of HostPorts. This helps maintain network policy controls and reduce security risks.,"Permitting containers with HostPorts can bypass network policy controls, increasing the risk of unauthorized network access."
core_minimize_admission_windows_hostprocess_containers,Minimize the admission of Windows HostProcess Containers,"This check ensures that Kubernetes clusters are configured to minimize the admission of Windows containers with the hostProcess flag set to true, thus reducing the risk of privilege escalation and security breaches.",Allowing Windows containers with hostProcess can lead to increased security risks due to privileged access to Windows nodes.
core_minimize_allowPrivilegeEscalation_containers,Minimize the admission of containers with allowPrivilegeEscalation,"This check ensures that Kubernetes clusters are configured to minimize the admission of containers that have the allowPrivilegeEscalation flag set to true, preventing processes within containers from gaining additional privileges.","Allowing containers with allowPrivilegeEscalation can lead to elevated privileges within the container's context, posing a security risk."
core_minimize_containers_added_capabilities,Minimize the admission of containers with added capabilities,"This check ensures that Kubernetes clusters are configured to minimize the admission of containers with capabilities assigned beyond the default set, mitigating the risks of container breakout attacks.",Allowing containers with additional capabilities increases the risk of security breaches and container breakout attacks.
core_minimize_containers_capabilities_assigned,Minimize the admission of containers with capabilities assigned,"This check ensures that Kubernetes clusters are configured to minimize the admission of containers with Linux capabilities assigned, adhering to the principle of least privilege and reducing the risk of privilege escalation.",Assigning unnecessary Linux capabilities to containers increases the risk of privilege escalation and security breaches.
core_minimize_hostIPC_containers,Minimize the admission of containers wishing to share the host IPC namespace,"This check ensures that Kubernetes clusters are configured to minimize the admission of containers that share the host's IPC namespace. Containers with hostIPC can interact with processes outside of the container, potentially leading to security risks.",Allowing containers to share the host's IPC namespace without strict control can lead to security risks and potential privilege escalations.
core_minimize_hostNetwork_containers,Minimize the admission of containers wishing to share the host network namespace,"This check ensures that Kubernetes clusters are configured to minimize the admission of containers that share the host's network namespace. Containers with hostNetwork can access local network traffic and other pods, potentially leading to security risks.",Allowing containers to share the host's network namespace without strict control can lead to security risks and potential network breaches.
core_minimize_hostPID_containers,Minimize the admission of containers wishing to share the host process ID namespace,"This check ensures that Kubernetes clusters are configured to minimize the admission of containers that share the host's process ID namespace. Containers with hostPID can inspect and interact with processes outside of the container, potentially leading to privilege escalation.",Allowing containers to share the host's PID namespace without strict control can lead to security risks and potential privilege escalations.
core_minimize_net_raw_capability_admission,Minimize the admission of containers with the NET_RAW capability,"This check ensures that Kubernetes clusters are configured to minimize the admission of containers with the potentially dangerous NET_RAW capability, which can be exploited by malicious containers.",Allowing containers with NET_RAW capability increases the risk of network attacks and privilege escalation.
core_minimize_privileged_containers,Minimize the admission of privileged containers,"This check ensures that Kubernetes clusters are configured to minimize the admission of privileged containers, which have access to all Linux Kernel capabilities and devices. The use of privileged containers should be controlled and restricted to specific use-cases.",Permitting privileged containers by default can lead to security vulnerabilities as these containers have elevated privileges equivalent to the host.
core_minimize_root_containers_admission,Minimize the admission of root containers,This check ensures that Kubernetes clusters are configured to minimize the admission of containers running as the root user. Running containers as root increases the risk of container breakout and should be restricted.,Allowing containers to run as root can lead to elevated risk of security breaches and container breakout.
core_no_secrets_envs,Prefer using secrets as files over secrets as environment variables,"This check ensures that secrets in Kubernetes are used as files rather than environment variables. Using secrets as files is safer, as it reduces the risk of exposing sensitive data through application logs.","Secrets exposed as environment variables can be inadvertently logged by applications, leading to potential security breaches."
core_seccomp_profile_docker_default,Ensure that the seccomp profile is set to docker/default in your pod definitions,"This check verifies that the docker/default seccomp profile is enabled in pod definitions. Enabling seccomp profiles helps restrict the set of system calls applications can make, enhancing the security of workloads in the cluster.","Not using or incorrectly configuring seccomp profiles can leave containers with broader permissions, increasing the risk of malicious actions."
datasync_task_logging_enabled,DataSync tasks should have logging enabled,This control checks if AWS DataSync tasks have logging enabled. The control fails if the task doesn't have the CloudWatchLogGroupArn property defined.,"Without logging enabled, important operational data may be lost, making it difficult to troubleshoot issues, monitor performance, and ensure compliance with auditing requirements."
directconnect_connection_redundancy,Ensure Direct Connect connections are redundant,Checks the resilience of the AWS Direct Connect used to connect your on-premises.,"This check alerts you if any Direct Connect connections are not redundant and the connections are coming from two distinct Direct Connect locations. Lack of location resiliency can result in unexpected downtime during maintenance, a fiber cut, a device failure, or a complete location failure."
directconnect_virtual_interface_redundancy,Ensure Direct Connect virtual interface(s) are providing redundant connections,Checks the resilience of the AWS Direct Connect used to connect your on-premises to each Direct Connect gateway or virtual private gateway.,"This check alerts you if any Direct Connect gateway or virtual private gateway isn't configured with virtual interfaces across at least two distinct Direct Connect locations. Lack of location resiliency can result in unexpected downtime during maintenance, a fiber cut, a device failure, or a complete location failure."
directoryservice_directory_log_forwarding_enabled,Directory Service monitoring with CloudWatch logs.,Directory Service monitoring with CloudWatch logs.,"As a best practice, monitor your organization to ensure that changes are logged. This helps you to ensure that any unexpected change can be investigated and unwanted changes can be rolled back."
directoryservice_directory_monitor_notifications,Directory Service has SNS Notifications enabled.,Directory Service has SNS Notifications enabled.,"As a best practice, monitor status of Directory Service. This helps to avoid late actions to fix Directory Service issues."
directoryservice_directory_snapshots_limit,Directory Service Manual Snapshots limit reached.,Directory Service Manual Snapshots limit reached.,A limit reached can bring unwanted results. The maximum number of manual snapshots is a hard limit.
directoryservice_ldap_certificate_expiration,Directory Service LDAP Certificates expiration.,Directory Service Manual Snapshots limit reached.,Expired certificates can impact service availability.
directoryservice_radius_server_security_protocol,Ensure Radius server in DS is using the recommended security protocol.,Ensure Radius server in DS is using the recommended security protocol.,"As a best practice, you might need to configure the authentication protocol between the Microsoft AD DCs and the RADIUS/MFA server. Supported protocols are PAP, CHAP MS-CHAPv1, and MS-CHAPv2. MS-CHAPv2 is recommended because it provides the strongest security of the three options."
directoryservice_supported_mfa_radius_enabled,Ensure Multi-Factor Authentication (MFA) using Radius Server is enabled in DS.,Ensure Multi-Factor Authentication (MFA) using Radius Server is enabled in DS.,Multi-Factor Authentication (MFA) adds an extra layer of authentication assurance beyond traditional username and password.
dlm_ebs_snapshot_lifecycle_policy_exists,Ensure EBS Snapshot lifecycle policies are defined.,Ensure EBS Snapshot lifecycle policies are defined.,"With AWS DLM service, you can manage the lifecycle of your EBS volume snapshots. By automating the EBS volume backup management using lifecycle policies, you can protect your EBS data by enforcing a regular backup schedule, retain backups as required by auditors or internal compliance."
dms_endpoint_mongodb_authentication_enabled,Check if DMS endpoints for MongoDB have an authentication mechanism enabled.,This control checks whether an AWS DMS endpoint for MongoDB is configured with an authentication mechanism. The control fails if an authentication type isn't set for the endpoint.,"Without an authentication mechanism enabled, unauthorized users may gain access to sensitive data during migration, increasing the risk of data breaches and security incidents."
dms_endpoint_neptune_iam_authorization_enabled,Check if DMS endpoints for Neptune databases have IAM authorization enabled.,This control checks whether an AWS DMS endpoint for an Amazon Neptune database is configured with IAM authorization. The control fails if the DMS endpoint doesn't have IAM authorization enabled.,"Without IAM authorization, DMS endpoints for Neptune databases may lack granular access control, increasing the risk of unauthorized access to sensitive data."
dms_endpoint_redis_in_transit_encryption_enabled,Check if DMS endpoints for Redis OSS are encrypted in transit.,This control checks whether an AWS DMS endpoint for Redis OSS is configured with a TLS connection. The control fails if the endpoint doesn't have TLS enabled.,"Without TLS, data transmitted between databases may be vulnerable to interception or eavesdropping, increasing the risk of data breaches and other security incidents."
dms_endpoint_ssl_enabled,Ensure SSL mode is enabled in DMS endpoint,This check ensures that SSL mode is enabled for all AWS Database Migration Service (DMS) endpoints. Enabling SSL provides encryption in transit for data transferred through these endpoints.,"Without SSL enabled, data transferred through DMS endpoints is not encrypted, potentially exposing sensitive information to unauthorized access or interception during transit."
dms_instance_minor_version_upgrade_enabled,Ensure DMS instances have auto minor version upgrade enabled.,Ensure DMS instances have auto minor version upgrade enabled.,Ensure that your Amazon Database Migration Service (DMS) replication instances have the Auto Minor Version Upgrade feature enabled in order to receive automatically minor engine upgrades.
dms_instance_multi_az_enabled,Ensure DMS instances have multi az enabled.,Ensure DMS instances have multi az enabled.,"Ensure that your Amazon Database Migration Service (DMS) replication instances are using Multi-AZ deployment configurations to provide High Availability (HA) through automatic failover to standby replicas in the event of a failure such as an Availability Zone (AZ) outage, an internal hardware or network outage, a software failure or in case of a planned maintenance session."
dms_instance_no_public_access,Ensure DMS instances are not publicly accessible.,Ensure DMS instances are not publicly accessible.,"Ensure that your Amazon Database Migration Service (DMS) are not publicly accessible from the Internet in order to avoid exposing private data and minimize security risks. A DMS replication instance should have a private IP address and the Publicly Accessible feature disabled when both the source and the target databases are in the same network that is connected to the instance's VPC through a VPN, VPC peering connection, or using an AWS Direct Connect dedicated connection."
dms_replication_task_source_logging_enabled,Check if DMS replication tasks for the source database have logging enabled.,This control checks whether logging is enabled with the minimum severity level of LOGGER_SEVERITY_DEFAULT for DMS replication tasks SOURCE_CAPTURE and SOURCE_UNLOAD. The control fails if logging isn't enabled for these tasks or if the minimum severity level is less than LOGGER_SEVERITY_DEFAULT.,"Without logging enabled, issues in data migration may go undetected, affecting the integrity and compliance of replicated data."
dms_replication_task_target_logging_enabled,Check if DMS replication tasks for the target database have logging enabled.,This control checks whether logging is enabled with the minimum severity level of LOGGER_SEVERITY_DEFAULT for DMS replication tasks TARGET_APPLY and TARGET_LOAD. The control fails if logging isn't enabled for these tasks or if the minimum severity level is less than LOGGER_SEVERITY_DEFAULT.,"Without logging enabled, issues in data migration may go undetected, affecting the integrity and compliance of replicated data."
documentdb_cluster_backup_enabled,Check if DocumentDB Clusters have backup enabled.,Check if DocumentDB Clusters have backup enabled.,Ensure that your Amazon DocumentDB database clusters have set a minimum backup retention period in order to achieve compliance requirements in your organization.
documentdb_cluster_cloudwatch_log_export,Check if DocumentDB clusters are using the log export feature.,Check if DocumentDB clusters are using the log export feature.,"Ensure that all your Amazon DocumentDB clusters are using the Log Exports feature in order to publish audit logs directly to CloudWatch Logs. The events recorded by Log Exports include events such as successful and failed authentication attempts, creating indexes, or dropping collections in DocumentDB databases."
documentdb_cluster_deletion_protection,Check if DocumentDB Clusters has deletion protection enabled.,Check if DocumentDB Clusters has deletion protection enabled.,Enabling cluster deletion protection offers an additional layer of protection against accidental database deletion or deletion by an unauthorized user. A DocumentDB cluster can't be deleted while deletion protection is enabled. You must first disable deletion protection before a delete request can succeed.
documentdb_cluster_multi_az_enabled,Ensure DocumentDB Cluster have Multi-AZ enabled.,Ensure DocumentDB Cluster have Multi-AZ enabled.,"Ensure that your Amazon DocumentDB Clusters are using Multi-AZ deployment configurations to provide High Availability (HA) through automatic failover to standby replicas in the event of a failure such as an Availability Zone (AZ) outage, an internal hardware or network outage, a software failure or in case of a planned maintenance session."
documentdb_cluster_public_snapshot,Check if DocumentDB manual cluster snapshot is public.,Check if DocumentDB manual cluster snapshot is public.,"If you share an unencrypted manual snapshot as public, the snapshot is available to all AWS accounts. Public snapshots may result in unintended data exposure."
documentdb_cluster_storage_encrypted,Check if DocumentDB cluster storage is encrypted.,Check if DocumentDB cluster storage is encrypted.,Ensure that encryption of data at rest is enabled for your Amazon DocumentDB (with MongoDB compatibility) database clusters for additional data security and regulatory compliance.
drs_job_exist,Ensure DRS is enabled with jobs.,Ensure DRS is enabled with jobs.,"If DRS is not enabled with jobs, then it may not be able to recover from a disaster."
dynamodb_accelerator_cluster_encryption_enabled,Check if DynamoDB DAX Clusters are encrypted at rest.,Check if DynamoDB DAX Clusters are encrypted at rest.,Encryption at rest provides an additional layer of data protection by securing your data from unauthorized access to the underlying storage.
dynamodb_accelerator_cluster_in_transit_encryption_enabled,Check if DynamoDB Accelerator (DAX) clusters are encrypted in transit.,"This control checks whether an Amazon DynamoDB Accelerator (DAX) cluster is encrypted in transit, with the endpoint encryption type set to TLS. The control fails if the DAX cluster isn't encrypted in transit.","Without encryption in transit, DAX clusters are vulnerable to person-in-the-middle attacks or eavesdropping on network traffic, which could lead to unauthorized access or manipulation of sensitive data."
dynamodb_accelerator_cluster_multi_az,Check if DynamoDB Accelerator (DAX) clusters have nodes in multiple availability zones.,This control checks whether an Amazon DynamoDB Accelerator (DAX) cluster has nodes in multiple availability zones.,Without DAX nodes in multiple availability zones (AZ) the nodes are at risk of interruption if an AZ disruption occurs.
dynamodb_table_autoscaling_enabled,Check if DynamoDB tables automatically scale capacity with demand.,"This check ensures that DynamoDB tables can scale their read and write capacity as needed, either using on-demand capacity mode or provisioned mode with auto scaling configured.","If DynamoDB tables do not automatically scale capacity with demand, they may experience throttling exceptions, leading to reduced availability and performance of applications."
dynamodb_table_cross_account_access,DynamoDB tables should not be accessible from other AWS accounts,This check determines if the DynamoDB table is accessible from other AWS accounts.,"If the DynamoDB table is accessible from other AWS accounts, it may lead to unauthorized access to the data stored in the table."
dynamodb_table_deletion_protection_enabled,Check if DynamoDB tables have deletion protection enabled.,This control checks whether an Amazon DynamoDB table has deletion protection enabled to prevent accidental deletion during regular table management operations.,"If deletion protection is not enabled, a DynamoDB table could be accidentally deleted, leading to data loss and potential disruption of business operations."
dynamodb_table_encryption_enabled,,,
dynamodb_table_protected_by_backup_plan,Check if DynamoDB tables are included in a backup plan.,This control checks whether an Amazon DynamoDB table is covered by a backup plan. The control fails if the DynamoDB table isn't included in a backup plan.,"If a DynamoDB table is not covered by a backup plan, data loss may occur due to accidental deletion, corruption, or unexpected failure, compromising the resilience of your application."
dynamodb_tables_kms_cmk_encryption_enabled,Check if DynamoDB table has encryption at rest enabled using CMK KMS.,Check if DynamoDB table has encryption at rest enabled using CMK KMS.,All user data stored in Amazon DynamoDB is fully encrypted at rest. This functionality helps reduce the operational burden and complexity involved in protecting sensitive data.
dynamodb_tables_pitr_enabled,Check if DynamoDB tables point-in-time recovery (PITR) is enabled.,Check if DynamoDB tables point-in-time recovery (PITR) is enabled.,"If the DynamoDB Table does not have point-in-time recovery enabled, it is vulnerable to accidental write or delete operations."
ec2_ami_public,Ensure there are no EC2 AMIs set as Public.,Ensure there are no EC2 AMIs set as Public.,"When your AMIs are publicly accessible, they are available in the Community AMIs where everyone with an AWS account can use them to launch EC2 instances. Your AMIs could contain snapshots of your applications (including their data), therefore exposing your snapshots in this manner is not advised."
ec2_client_vpn_endpoint_connection_logging_enabled,EC2 Client VPN endpoints should have client connection logging enabled.,This control checks whether an AWS Client VPN endpoint has client connection logging enabled. The control fails if the endpoint doesn't have client connection logging enabled.,Client VPN endpoints allow remote clients to securely connect to resources in a Virtual Private Cloud (VPC) in AWS. Connection logs allow you to track user activity on the VPN endpoint and provides visibility.
ec2_ebs_default_encryption,Check if EBS Default Encryption is activated.,Check if EBS Default Encryption is activated.,If not enabled sensitive information at rest is not protected.
ec2_ebs_public_snapshot,Ensure there are no EBS Snapshots set as Public.,Ensure there are no EBS Snapshots set as Public.,"When you share a snapshot, you are giving others access to all of the data on the snapshot. Share snapshots only with people with whom you want to share all of your snapshot data."
ec2_ebs_snapshot_account_block_public_access,Ensure that public access to EBS snapshots is disabled,"EBS snapshots can be shared with other AWS accounts or made public. By default, EBS snapshots are private and only the AWS account that created the snapshot can access it. If an EBS snapshot is shared with another AWS account or made public, the data in the snapshot can be accessed by the other account or by anyone on the internet. Ensure that public access to EBS snapshots is disabled.","If public access to EBS snapshots is enabled, the data in the snapshot can be accessed by anyone on the internet."
ec2_ebs_snapshots_encrypted,Check if EBS snapshots are encrypted.,Check if EBS snapshots are encrypted.,Data encryption at rest prevents data visibility in the event of its unauthorized access or theft.
ec2_ebs_volume_encryption,Ensure there are no EBS Volumes unencrypted.,Ensure there are no EBS Volumes unencrypted.,Data encryption at rest prevents data visibility in the event of its unauthorized access or theft.
ec2_ebs_volume_protected_by_backup_plan,Amazon EBS volumes should be protected by a backup plan.,"Evaluates if an Amazon EBS volume in in-use state is covered by a backup plan. The check fails if an EBS volume isn't covered by a backup plan. If you set the backupVaultLockCheck parameter equal to true, the control passes only if the EBS volume is backed up in an AWS Backup locked vault.","Without backup coverage, Amazon EBS volumes are vulnerable to data loss or deletion, reducing the resilience of your systems and making recovery from incidents more difficult."
ec2_ebs_volume_snapshots_exists,Check if EBS snapshots exists.,Check if EBS snapshots exists.,"Ensure that your EBS volumes (available or in-use) have recent snapshots (taken weekly) available for point-in-time recovery for a better, more reliable data backup strategy."
ec2_elastic_ip_shodan,Check if any of the Elastic or Public IP are in Shodan (requires Shodan API KEY).,Check if any of the Elastic or Public IP are in Shodan (requires Shodan API KEY).,Sites like Shodan index exposed systems and further expose them to wider audiences as a quick way to find exploitable systems.
ec2_elastic_ip_unassigned,Check if there is any unassigned Elastic IP.,Check if there is any unassigned Elastic IP.,Unassigned Elastic IPs may result in extra cost.
ec2_instance_account_imdsv2_enabled,Ensure Instance Metadata Service Version 2 (IMDSv2) is enforced for EC2 instances at the account level to protect against SSRF vulnerabilities.,Ensure Instance Metadata Service Version 2 (IMDSv2) is enforced for EC2 instances at the account level to protect against SSRF vulnerabilities.,EC2 instances that use IMDSv1 are vulnerable to SSRF attacks.
ec2_instance_detailed_monitoring_enabled,Check if EC2 instances have detailed monitoring enabled.,Check if EC2 instances have detailed monitoring enabled.,Enabling detailed monitoring provides enhanced monitoring and granular insights into EC2 instance metrics. Not having detailed monitoring enabled may limit the ability to troubleshoot performance issues effectively.
ec2_instance_imdsv2_enabled,Check if EC2 Instance Metadata Service Version 2 (IMDSv2) is Enabled and Required.,Check if EC2 Instance Metadata Service Version 2 (IMDSv2) is Enabled and Required.,Using IMDSv2 will protect from misconfiguration and SSRF vulnerabilities. IMDSv1 will not.
ec2_instance_internet_facing_with_instance_profile,Check for internet facing EC2 instances with Instance Profiles attached.,Check for internet facing EC2 instances with Instance Profiles attached.,Exposing an EC2 directly to internet increases the attack surface and therefore the risk of compromise.
ec2_instance_managed_by_ssm,Check if EC2 instances are managed by Systems Manager.,Check if EC2 instances are managed by Systems Manager.,"AWS Config provides AWS Managed Rules, which are predefined, customizable rules that AWS Config uses to evaluate whether your AWS resource configurations comply with common best practices."
ec2_instance_older_than_specific_days,Check EC2 Instances older than specific days.,Check EC2 Instances older than specific days.,Having old instances within your AWS account could increase the risk of having vulnerable software.
ec2_instance_paravirtual_type,Amazon EC2 paravirtual virtualization type should not be used.,Ensure that the virtualization type of an EC2 instance is not paravirtual. The control fails if the virtualizationType of the EC2 instance is set to paravirtual.,"Using paravirtual instances can limit performance and security benefits offered by hardware virtual machine (HVM) instances, such as improved CPU, network, and storage efficiency."
ec2_instance_port_cassandra_exposed_to_internet,"Ensure no EC2 instances allow ingress from the internet to Cassandra ports (TCP 7000, 7001, 7199, 9042, 9160).","Ensure no EC2 instances allow ingress from the internet to Cassandra ports (TCP 7000, 7001, 7199, 9042, 9160).","Cassandra is a distributed database management system designed to handle large amounts of data across many commodity servers, providing high availability with no single point of failure. Exposing Cassandra ports to the internet can lead to unauthorized access to the database, data exfiltration, and data loss."
ec2_instance_port_cifs_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 139 or 445 (CIFS).,Ensure no EC2 instances allow ingress from the internet to TCP port 139 or 445 (CIFS).,CIFS is a file sharing protocol that is used to access files and printers on remote systems. It is not recommended to expose CIFS to the internet.
ec2_instance_port_elasticsearch_kibana_exposed_to_internet,"Ensure no EC2 instances allow ingress from the internet to Elasticsearch and Kibana ports (TCP 9200, 9300, 5601).","Ensure no EC2 instances allow ingress from the internet to Elasticsearch and Kibana ports (TCP 9200, 9300, 5601).",Elasticsearch and Kibana are commonly used for log and data analysis. Allowing ingress from the internet to these ports can expose sensitive data to unauthorized users.
ec2_instance_port_ftp_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 20 or 21 (FTP),Ensure no EC2 instances allow ingress from the internet to TCP port 20 or 21 (FTP).,"FTP is an insecure protocol and should not be used. If FTP is required, it should be used over a secure channel such as FTPS or SFTP."
ec2_instance_port_kafka_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 9092 (Kafka).,Ensure no EC2 instances allow ingress from the internet to TCP port 9092 (Kafka).,"Kafka is a distributed streaming platform that is used to build real-time data pipelines and streaming applications. Exposing the Kafka port to the internet can lead to unauthorized access to the Kafka cluster, which can result in data leakage, data corruption, and data loss."
ec2_instance_port_kerberos_exposed_to_internet,"Ensure no EC2 instances allow ingress from the internet to TCP port 88, 464, 749 or 750 (Kerberos).","Ensure no EC2 instances allow ingress from the internet to TCP port 88, 464, 749 or 750 (Kerberos).","Kerberos is a network authentication protocol that uses secret-key cryptography to authenticate clients and servers. It is typically used in environments where users need to authenticate to access network resources. If an EC2 instance allows ingress from the internet to TCP port 88 or 464, it may be vulnerable to unauthorized access."
